utt,point,etype,level,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_orig
hts2a,mixnf,dc,16,8.4487,10.218,12.103,293,6.2485,9.2442,13.076,9.9815,0.0047957,1.5415,0.53172
hts2a,mixnf,white,0.25,0.13284,0.10465,0.28598,293,-44.736,-36.31,35,35,-3.908e-14,0.0092719,0.56834
hts2a,mixnf,white,1,0.4861,0.39791,1.0544,293,-32.918,-24.716,34.547,35,-4.7073e-14,0.038073,0.56805
hts2a,mixnf,white,4,1.6288,1.5648,3.4574,293,-21.479,-11.978,30.999,35,-3.5527e-14,0.19102,0.56174
hts2a,mixnf,white,16,5.5951,3.9004,13.083,293,-12.456,10.867,21.131,23.136,-1.5099e-14,1.3215,0.50437
hts2a,wo,white,0.0005,1.3072,0.43197,4.5555,293,-33.443,-10.033,27.559,33.434,-1.5987e-14,0.15673,0.56734
hts2a,wo,white,0.002,2.5491,2.0569,5.63,293,-18.615,-8.1273,20.276,18.296,-3.5527e-14,0.48382,0.56295
hts2a,wo,white,0.008,3.6959,4.1616,6.745,293,-11.748,-7.2309,12.922,8.3753,-1.1546e-13,0.40387,0.57093
hts2a,wo,white,0.032,4.4529,5.1055,7.6868,293,-9.2695,-5.6205,7.5505,0.64541,7.5331e-07,0.84157,0.55384
hts2a,wo,white,0.128,5.1266,5.8404,8.7343,293,-6.689,-3.253,5.3201,-2.1606,0.00118,1.6375,0.48668
hts2a,wo,dc,0.0005,3.18,3.5826,6.2007,293,-13.692,-7.661,16.782,11.674,-9.1482e-14,0.39393,0.57189
hts2a,wo,dc,0.002,3.696,4.0976,6.69,293,-12.251,-7.0067,11.699,6.3455,-6.0891e-08,0.4709,0.57104
hts2a,wo,dc,0.008,4.4625,5.0872,7.5627,293,-9.7193,-6.1284,6.7254,-0.33374,-1.954e-14,0.58417,0.56614
hts2a,wo,dc,0.032,4.8146,5.5644,7.7649,293,-8.22,-5.1314,5.5353,-2.2517,-1.0389e-05,0.77564,0.56261
hts2a,wo,dc,0.128,5.6501,6.4831,9.1791,293,-5.3063,-1.5672,4.4939,-2.5508,-0.0014104,0.82864,0.43754
hts2a,wo,framemod,0.0005,0.70617,0.27114,1.4444,293,-36.644,-22.407,31.106,35,-1.954e-14,0.067713,0.56995
hts2a,wo,framemod,0.002,2.2508,1.3326,6.0678,293,-23.079,-7.6713,21.562,22.301,-7.6383e-14,0.22722,0.57167
hts2a,wo,framemod,0.008,3.531,3.7906,6.7304,293,-12.324,-7.4133,14.319,10.858,-1.4211e-14,0.61822,0.56262
hts2a,wo,framemod,0.032,4.461,4.8864,7.4507,293,-9.2489,-5.8352,7.9819,2.9171,0.00020315,0.93725,0.55657
hts2a,wo,framemod,0.128,5.3929,6.212,9.1374,293,-5.8358,-1.8012,5.0108,-2.2347,0.11312,2.0594,0.45198
hts2a,lsphz,white,0.5,0.13215,0.087255,0.25389,293,-46.174,-39.965,34.951,35,0.0030456,0.031692,0.56842
hts2a,lsphz,white,2,0.47849,0.35635,0.97046,293,-34.118,-27.857,30.464,30.827,0.01656,0.13087,0.56837
hts2a,lsphz,white,8,1.6551,1.3761,3.1896,293,-21.924,-15.617,18.714,18.866,0.052221,0.53111,0.56234
hts2a,lsphz,white,32,4.791,4.3024,7.6846,293,-9.7925,-3.3612,6.454,6.8414,0.22238,2.0272,0.47164
hts2a,lsphz,white,128,36.177,39.106,54.885,293,40.337,57.091,-8.7315,-10,-7.339,-2.1253,0.099315
hts2a,lsphz,dc,0.5,0.074582,0.049449,0.14325,293,-47.485,-41.817,34.971,35,0.003765,0.022948,0.56839
hts2a,lsphz,dc,2,0.29418,0.19636,0.54508,293,-35.456,-29.703,29.73,30.236,0.01501,0.093367,0.5685
hts2a,lsphz,dc,8,1.0698,0.76933,2.0066,293,-23.412,-17.451,17.776,18.184,0.059115,0.35674,0.56906
hts2a,lsphz,dc,32,3.4895,2.8818,6.1318,293,-10.755,-5.0502,6.1769,6.5186,0.16397,1.3094,0.57454
hts2a,lsphz,dc,128,9.3449,9.1291,11.621,293,3.9614,8.5059,-2.1006,-2.3617,0.53782,2.4344,0.50296
hts2a,lsphz,worst,0.5,0.076785,0.050114,0.14641,293,-47.952,-40.292,34.899,35,-0.0049559,0.019591,0.56786
hts2a,lsphz,worst,2,0.29694,0.19993,0.59739,293,-35.84,-28.352,30.277,31.191,-0.016356,0.076946,0.5662
hts2a,lsphz,worst,8,1.1038,0.76948,2.248,293,-23.527,-16.346,18.016,19.038,-0.089431,0.33617,0.55651
hts2a,lsphz,worst,32,4.4804,3.3879,8.4551,293,-10.456,-1.4695,3.906,5.7877,-0.48199,0.84569,0.46351
hts2a,lsphz,worst,128,16.012,14.736,24.945,293,16.08,32.655,-8.4656,-10,-2.461,0.47798,0.28123
hts2a,edb,white,0.05,0.041794,0.032993,0.077793,293,-49.409,-41.319,35,35,4.7228e-07,0.01842,0.56816
hts2a,edb,white,0.2,0.16957,0.13128,0.31109,293,-37.324,-29.245,33.547,35,1.8587e-06,0.072786,0.56752
hts2a,edb,white,0.8,0.65345,0.52525,1.2482,293,-25.14,-17.295,25.029,24.503,1.9935e-05,0.30883,0.56409
hts2a,edb,white,3.2,2.4917,2.0577,4.954,293,-13.353,-5.7372,13.503,12.137,0.00021026,1.1949,0.5347
hts2a,edb,white,12.8,9.8742,7.699,19.85,293,-2.6248,13.488,1.5548,1.9707,0.00052722,2.6149,0.37435
hts2a,edb,dc,0.05,0.05,0.05,0.05,293,-44.772,-44.772,35,35,-1.2434e-14,5.3291e-15,0.56835
hts2a,edb,dc,0.2,0.2,0.2,0.2,293,-32.655,-32.655,32.655,32.655,-1.2434e-14,5.3291e-15,0.56835
hts2a,edb,dc,0.8,0.8,0.8,0.8,293,-20.311,-20.311,20.311,20.311,-1.0658e-14,6.2172e-15,0.56835
hts2a,edb,dc,3.2,3.2,3.2,3.2,293,-7.0242,-7.0242,7.0242,7.0242,-8.8818e-15,5.3291e-15,0.56835
hts2a,edb,dc,12.8,13.238,12.8,13.505,293,10.54,10.59,-9.9664,-10,-7.1054e-15,7.1054e-15,0.57579
ve9qrp_10s,CLEAN,-,0,0,0,0,981,-inf,nan,35,35,-7.1054e-15,-1.7764e-15,0.56216
ve9qrp_10s,CLEAN2,-,0,6.3556,6.2572,8.3178,981,-7.1007,-3.2019,5.7593,5.6219,0.025038,1.0606,0.5601
ve9qrp_10s,coslsp,white,0.0001,0.031445,0.022249,0.054458,981,-55.304,-48.239,34.987,35,2.2282e-05,0.011175,0.56212
ve9qrp_10s,coslsp,white,0.0004,0.12489,0.08936,0.2143,981,-43.281,-36.227,33.704,35,-0.00036552,0.043381,0.56192
ve9qrp_10s,coslsp,white,0.0016,0.47442,0.35731,0.85997,981,-31.247,-24.274,25.175,25.976,-0.0019982,0.1662,0.55991
ve9qrp_10s,coslsp,white,0.0064,1.7165,1.3889,3.0615,981,-19.208,-11.901,12.965,13.726,-0.055069,0.59683,0.5382
ve9qrp_10s,coslsp,white,0.0256,7.1803,5.0117,12.938,981,-6.5736,9.7579,0.60127,2.0661,-0.63999,1.7205,0.30562
ve9qrp_10s,coslsp,white,0.1024,34.995,33.627,47.746,981,35.558,49.674,-9.9856,-10,-11.286,-7.4368,0.11219
